instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE0NPI01014,14411.0,SRIVASAVI,SRIVASAVI ADHESIVE TAPE L,116.75,,,0.05,1000.0,EQUITY,,NSE
NSE_EQ|INE0R6Z01013,23402.0,SRM,SRM CONTRACTORS LIMITED,176.29,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE008Z01020,143.0,SRPL,SHREE RAM PROTEINS LTD.,1.05,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE0ON201012,18056.0,SSFL,SRIVARI SPICES N FOODS L,284.0,,,0.05,500.0,EQUITY,,NSE
NSE_EQ|INE802C01033,11829.0,SSWL,STEEL STRIPS WHEELS LTD.,217.17,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE939A01011,7374.0,STAR,STRIDES PHARMA SCI LTD,926.2,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE460H01021,21091.0,STARCEMENT,STAR CEMENT LIMITED,219.96,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE575P01011,7083.0,STARHEALTH,STAR HEALTH & AL INS CO L,517.9,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE733A01018,3291.0,STARPAPER,STAR PAPER MILLS LTD,230.86,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE992I01013,9314.0,STARTECK,STARTECK FINANCE LIMITED,230.52,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE655A01013,10948.0,STCINDIA,THE STATE TRADING CORPN,144.84,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE124E01020,6803.0,STEELCAS,STEELCAST LIMITED,633.5,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE395H01011,10406.0,STEELCITY,STEEL CITY SECURITIES LTD,101.2,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE503B01021,21339.0,STEELXIND,STEEL EXCHANGE INDIA LTD,13.09,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE577L01016,21484.0,STEL,STEL HOLDINGS LIMITED,418.95,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE334A01023,4299.0,STERTOOLS,STERLING TOOLS LIMITED,372.55,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE089C01029,9309.0,STLTECH,STERLITE TECHNOLOGIES LTD,130.26,,,0.01,1.0,EQUITY,,NSE
